Community,Name,Centrality Measure,URI,Community Period
1,"Folkema, J.",0.096,https://id.rijksmuseum.nl/31036665,"(1706, 1802)"
1,Jacob Houbraken,0.089,http://www.vondel.humanities.uva.nl/ecartico/persons/10178,"(1706, 1802)"
1,Simon Fokke,0.085,http://www.vondel.humanities.uva.nl/ecartico/persons/52372,"(1706, 1802)"
1,Casper Philips,0.078,http://www.vondel.humanities.uva.nl/ecartico/persons/36922,"(1706, 1802)"
1,Frederik Ottens,0.063,http://www.vondel.humanities.uva.nl/ecartico/persons/5810,"(1706, 1802)"
1,Bernard Picard,0.063,http://www.vondel.humanities.uva.nl/ecartico/persons/5980,"(1706, 1802)"
1,"Tanjé, P.",0.059,https://id.rijksmuseum.nl/310111879,"(1706, 1802)"
1,"Vinkeles, Reinier",0.057,https://id.rijksmuseum.nl/310139069,"(1706, 1802)"
1,Jacob Folkema,0.057,http://www.vondel.humanities.uva.nl/ecartico/persons/8713,"(1706, 1802)"
1,Jacobus Schijnvoet,0.054,http://www.vondel.humanities.uva.nl/ecartico/persons/6666,"(1706, 1802)"
1,Frans van Bleyswyck,0.052,http://www.vondel.humanities.uva.nl/ecartico/persons/66,"(1706, 1802)"
1,Cornelis Pronk,0.046,http://www.vondel.humanities.uva.nl/ecartico/persons/8862,"(1706, 1802)"
1,Adolf van der Laan,0.039,http://www.vondel.humanities.uva.nl/ecartico/persons/4413,"(1706, 1802)"
1,P. van Liender,0.037,http://data.bibliotheken.nl/id/thes/p089364805,"(1706, 1802)"
1,"Liender, Paulus van",0.037,https://id.rijksmuseum.nl/310140690,"(1706, 1802)"
1,Jan Beijer,0.037,http://www.vondel.humanities.uva.nl/ecartico/persons/14528,"(1706, 1802)"
1,"Philips, J. C.",0.035,https://id.rijksmuseum.nl/310139192,"(1706, 1802)"
1,"Schley, J. van",0.033,https://id.rijksmuseum.nl/310101932,"(1706, 1802)"
1,"Bakker, F. de",0.028,https://id.rijksmuseum.nl/3105345,"(1706, 1802)"
1,"Vlaaming, J. de",0.026,https://id.rijksmuseum.nl/310140687,"(1706, 1802)"
1,"Schouten, H.",0.026,https://id.rijksmuseum.nl/310140688,"(1706, 1802)"
1,"Schoute, H.",0.026,https://id.rijksmuseum.nl/310102973,"(1706, 1802)"
1,"Keur, N.",0.026,https://id.rijksmuseum.nl/310140691,"(1706, 1802)"
1,Jan Wandelaar,0.026,http://www.vondel.humanities.uva.nl/ecartico/persons/13878,"(1706, 1802)"
1,"Dyk, P. R. van",0.026,https://id.rijksmuseum.nl/310140692,"(1706, 1802)"
1,"Coppier, de",0.026,https://id.rijksmuseum.nl/310140693,"(1706, 1802)"
1,Aert Schouman,0.022,http://www.vondel.humanities.uva.nl/ecartico/persons/52482,"(1706, 1802)"
1,"Troost, K.",0.02,https://id.rijksmuseum.nl/310141583,"(1706, 1802)"
1,"Oltens, F.",0.02,https://id.rijksmuseum.nl/310141585,"(1706, 1802)"
1,"Folkema, S.",0.02,https://id.rijksmuseum.nl/310141582,"(1706, 1802)"
1,"Dyck, Ph. van",0.02,https://id.rijksmuseum.nl/310141584,"(1706, 1802)"
1,Claude Duflos,0.02,http://www.vondel.humanities.uva.nl/ecartico/persons/17019,"(1706, 1802)"
1,"Sibelius, J.",0.017,https://id.rijksmuseum.nl/310141444,"(1706, 1802)"
1,"Morellon la Cave, F.",0.017,https://id.rijksmuseum.nl/31079276,"(1706, 1802)"
1,Jacobus Buys,0.015,http://data.bibliotheken.nl/id/thes/p091493323,"(1706, 1802)"
1,H. Spilman,0.015,http://data.bibliotheken.nl/id/thes/p089268016,"(1706, 1802)"
1,Simon Thomassin,0.013,http://www.vondel.humanities.uva.nl/ecartico/persons/52471,"(1706, 1802)"
1,Jacobus van der Schley,0.013,http://data.bibliotheken.nl/id/thes/p069754454,"(1706, 1802)"
1,Aved,0.013,https://id.rijksmuseum.nl/310140135,"(1706, 1802)"
1,"Dam, A. van",0.011,https://id.rijksmuseum.nl/310140499,"(1706, 1802)"
1,"Surugue, L.",0.009,https://id.rijksmuseum.nl/310111095,"(1706, 1802)"
1,"Philips, P.",0.009,https://id.rijksmuseum.nl/31089860,"(1706, 1802)"
1,"Kondet, G.",0.009,https://id.rijksmuseum.nl/31062011,"(1706, 1802)"
1,Johan (van) Huchtenburg,0.009,http://www.vondel.humanities.uva.nl/ecartico/persons/3920,"(1706, 1802)"
1,"Jeaurat, E.",0.009,https://id.rijksmuseum.nl/31056511,"(1706, 1802)"
1,Frans Hals,0.009,http://www.vondel.humanities.uva.nl/ecartico/persons/3474,"(1706, 1802)"
1,"Fonbonne, Q.",0.009,https://id.rijksmuseum.nl/31036696,"(1706, 1802)"
1,"Dubourg, Louis Fabrice",0.009,https://id.rijksmuseum.nl/31030762,"(1706, 1802)"
1,Cornelis (de) Visscher,0.009,http://www.vondel.humanities.uva.nl/ecartico/persons/7901,"(1706, 1802)"
1,"Cave, F.M. La",0.009,https://id.rijksmuseum.nl/31019989,"(1706, 1802)"
1,"Vleugels, HC.",0.007,https://id.rijksmuseum.nl/310140523,"(1706, 1802)"
1,"Verstegen, J.",0.007,https://id.rijksmuseum.nl/310140026,"(1706, 1802)"
1,"Spilman, W.",0.007,https://id.rijksmuseum.nl/310107877,"(1706, 1802)"
1,"Quinkhard, Julius",0.007,https://id.rijksmuseum.nl/31093208,"(1706, 1802)"
1,Nicolaes Jansz. Verkolje,0.007,http://www.vondel.humanities.uva.nl/ecartico/persons/412,"(1706, 1802)"
1,"Lacave, F. M.",0.007,https://id.rijksmuseum.nl/310140522,"(1706, 1802)"
1,Johannes van der Spijk,0.007,http://www.vondel.humanities.uva.nl/ecartico/persons/57257,"(1706, 1802)"
1,Daniël Stopendael,0.007,http://www.vondel.humanities.uva.nl/ecartico/persons/7170,"(1706, 1802)"
1,Charles-Antoine Coypel,0.007,http://data.bibliotheken.nl/id/thes/p068201559,"(1706, 1802)"
1,"Buisen, A. v.",0.007,https://id.rijksmuseum.nl/31016972,"(1706, 1802)"
1,"Bernards, B.",0.007,https://id.rijksmuseum.nl/3109448,"(1706, 1802)"
1,"Bakker, B. de",0.007,https://id.rijksmuseum.nl/310140027,"(1706, 1802)"
1,Tibout Regters,0.004,http://www.vondel.humanities.uva.nl/ecartico/persons/11682,"(1706, 1802)"
1,"Smit, I.",0.004,https://id.rijksmuseum.nl/310139595,"(1706, 1802)"
1,Ottomar Elliger III,0.004,http://www.vondel.humanities.uva.nl/ecartico/persons/25491,"(1706, 1802)"
1,"Ostrom, G. van",0.004,https://id.rijksmuseum.nl/31086485,"(1706, 1802)"
1,Leonardus Schenk,0.004,http://www.vondel.humanities.uva.nl/ecartico/persons/17216,"(1706, 1802)"
1,"Jelgersma, Taco",0.004,https://id.rijksmuseum.nl/31056555,"(1706, 1802)"
1,"Hoet, A.",0.004,https://id.rijksmuseum.nl/310139407,"(1706, 1802)"
1,H. Keun,0.004,http://data.bibliotheken.nl/id/thes/p089351223,"(1706, 1802)"
1,Frederick Bloemaert,0.004,http://www.vondel.humanities.uva.nl/ecartico/persons/1033,"(1706, 1802)"
1,"Cuyk, P. van",0.004,https://id.rijksmuseum.nl/31025492,"(1706, 1802)"
1,"Brouwer, G.",0.004,https://id.rijksmuseum.nl/310139176,"(1706, 1802)"
1,Arnold Houbraken,0.004,http://www.vondel.humanities.uva.nl/ecartico/persons/3880,"(1706, 1802)"
1,"Vinkeles, A.",0.002,https://id.rijksmuseum.nl/310140845,"(1706, 1802)"
1,"Swart, P. de",0.002,https://id.rijksmuseum.nl/310138930,"(1706, 1802)"
1,Roelant Roghman,0.002,http://www.vondel.humanities.uva.nl/ecartico/persons/6340,"(1706, 1802)"
1,Reynier Blokhuisen,0.002,http://www.vondel.humanities.uva.nl/ecartico/persons/71,"(1706, 1802)"
1,"Melder, G.",0.002,https://id.rijksmuseum.nl/31076008,"(1706, 1802)"
1,"Linperch, Pieter",0.002,https://id.rijksmuseum.nl/31069329,"(1706, 1802)"
1,"La Fargue, Paulus Constantijn",0.002,https://id.rijksmuseum.nl/31064629,"(1706, 1802)"
1,"Jongman, D.",0.002,https://id.rijksmuseum.nl/31057458,"(1706, 1802)"
1,"Jonckman, W.",0.002,https://id.rijksmuseum.nl/31057206,"(1706, 1802)"
1,Johan Wilhelm Winter,0.002,http://www.vondel.humanities.uva.nl/ecartico/persons/57303,"(1706, 1802)"
1,J.E. Marcus,0.002,http://data.bibliotheken.nl/id/thes/p06992497X,"(1706, 1802)"
1,Hermanus Numan,0.002,http://data.bibliotheken.nl/id/thes/p070240108,"(1706, 1802)"
1,"Frisch, Christ.Friedr.",0.002,https://id.rijksmuseum.nl/31038301,"(1706, 1802)"
1,"Friezsch, C.F.",0.002,https://id.rijksmuseum.nl/31038275,"(1706, 1802)"
1,Frans Hemsterhuis,0.002,http://data.bibliotheken.nl/id/thes/p068383290,"(1706, 1802)"
1,Cornelis Ploos van Amstel,0.002,http://data.bibliotheken.nl/id/thes/p069186294,"(1706, 1802)"
1,"Buusen, A. van",0.002,https://id.rijksmuseum.nl/310140423,"(1706, 1802)"
1,Allart Pietersz. van Everdingen,0.002,http://www.vondel.humanities.uva.nl/ecartico/persons/2805,"(1706, 1802)"
2,Reinier Vinkeles,0.057,http://data.bibliotheken.nl/id/thes/p070362858,"(1743, 1816)"
2,Jan Punt de Jonge,0.054,http://www.vondel.humanities.uva.nl/ecartico/persons/52346,"(1743, 1816)"
2,"Bogerts, C.",0.054,https://id.rijksmuseum.nl/31012373,"(1743, 1816)"
2,"Meer, Noach van der",0.022,https://id.rijksmuseum.nl/31075521,"(1743, 1816)"
2,"Koning, Th.",0.017,https://id.rijksmuseum.nl/31062071,"(1743, 1816)"
2,Jan Bulthuis,0.017,http://data.bibliotheken.nl/id/thes/p089235193,"(1743, 1816)"
2,"Baarsel, C. van ",0.017,https://id.rijksmuseum.nl/3104740,"(1743, 1816)"
2,"Meer, Noach van der (jr.)",0.015,https://id.rijksmuseum.nl/31075522,"(1743, 1816)"
2,"Brouwer, Anna Catharina",0.015,https://id.rijksmuseum.nl/31015868,"(1743, 1816)"
2,"Brouwer, C.",0.013,https://id.rijksmuseum.nl/31015869,"(1743, 1816)"
2,"Wijsman, J.",0.011,https://id.rijksmuseum.nl/310122931,"(1743, 1816)"
2,"Vrijdag, D.",0.011,https://id.rijksmuseum.nl/310119714,"(1743, 1816)"
2,"Groenewegen,, G.",0.011,https://id.rijksmuseum.nl/31044850,"(1743, 1816)"
2,"Cuylenburg, C. van",0.011,https://id.rijksmuseum.nl/31025494,"(1743, 1816)"
2,"Vuuren, Cornelis van",0.009,https://id.rijksmuseum.nl/310119793,"(1743, 1816)"
2,"Visser, J.G.",0.009,https://id.rijksmuseum.nl/310118740,"(1743, 1816)"
2,"Schultsz, Johan Christoffel",0.009,https://id.rijksmuseum.nl/310103420,"(1743, 1816)"
2,"Pothoven, Hendrik",0.009,https://id.rijksmuseum.nl/31091926,"(1743, 1816)"
2,"Polly, Jacob",0.009,https://id.rijksmuseum.nl/31091402,"(1743, 1816)"
2,Pieter Anthonisz. Barbiers,0.009,http://www.vondel.humanities.uva.nl/ecartico/persons/10461,"(1743, 1816)"
2,"Natrus, Leendert van",0.009,https://id.rijksmuseum.nl/31082868,"(1743, 1816)"
2,"Buys, J.",0.009,https://id.rijksmuseum.nl/31017780,"(1743, 1816)"
2,"Besoet, J.",0.009,https://id.rijksmuseum.nl/3109867,"(1743, 1816)"
2,Abraham Delfos,0.009,http://data.bibliotheken.nl/id/thes/p069939047,"(1743, 1816)"
2,"Sallieth, Mathias",0.007,https://id.rijksmuseum.nl/31099910,"(1743, 1816)"
2,"Paola, Maria",0.007,https://id.rijksmuseum.nl/31087727,"(1743, 1816)"
2,Hendrik de Leth (I & II),0.007,http://www.vondel.humanities.uva.nl/ecartico/persons/4575,"(1743, 1816)"
2,"Goeree, P.",0.007,https://id.rijksmuseum.nl/31042784,"(1743, 1816)"
2,"Gardiner Visscher, J.",0.007,https://id.rijksmuseum.nl/31040079,"(1743, 1816)"
2,"Fessard, M.",0.007,https://id.rijksmuseum.nl/31035488,"(1743, 1816)"
2,Dirk Kuipers,0.007,http://data.bibliotheken.nl/id/thes/p07010414X,"(1743, 1816)"
2,"Cuyk, P. van (jr.)",0.007,https://id.rijksmuseum.nl/31025493,"(1743, 1816)"
2,"Cuyck, P.",0.007,https://id.rijksmuseum.nl/310140519,"(1743, 1816)"
2,"Buys, Jan",0.007,https://id.rijksmuseum.nl/31017782,"(1743, 1816)"
2,"Brasser, L.",0.007,https://id.rijksmuseum.nl/31014734,"(1743, 1816)"
2,"Bendorp, K.F.",0.007,https://id.rijksmuseum.nl/3108543,"(1743, 1816)"
2,"Bendorp, K. F.",0.007,https://id.rijksmuseum.nl/310139389,"(1743, 1816)"
2,"Aa, Dirk van der",0.007,https://id.rijksmuseum.nl/31035,"(1743, 1816)"
2,"Zürcher, Antoni",0.004,https://id.rijksmuseum.nl/310126402,"(1743, 1816)"
2,"Vrydag, D.",0.004,https://id.rijksmuseum.nl/310119756,"(1743, 1816)"
2,"Philips, C.",0.004,https://id.rijksmuseum.nl/31089848,"(1743, 1816)"
2,"Jacobsz, A. Hluk",0.004,https://id.rijksmuseum.nl/31055690,"(1743, 1816)"
2,"Huyser, C.F. de",0.004,https://id.rijksmuseum.nl/31054397,"(1743, 1816)"
2,"Zuercher, A.",0.002,https://id.rijksmuseum.nl/310126343,"(1743, 1816)"
2,"Kuipers, C.",0.002,https://id.rijksmuseum.nl/31063887,"(1743, 1816)"
2,Cornelis Jacobsz. Drebbel,0.002,http://www.vondel.humanities.uva.nl/ecartico/persons/2588,"(1743, 1816)"
2,"Copia, J.L.",0.002,https://id.rijksmuseum.nl/31023901,"(1743, 1816)"
2,"Bardet de Villeneuve, P.P.A.",0.002,https://id.rijksmuseum.nl/3106070,"(1743, 1816)"
3,Theodoor Matham,0.074,http://www.vondel.humanities.uva.nl/ecartico/persons/4892,"(1607, 1655)"
3,Adriaen Pietersz van de Venne,0.048,http://www.vondel.humanities.uva.nl/ecartico/persons/7653,"(1607, 1655)"
3,Jan Jansz van den Velde I,0.033,http://www.vondel.humanities.uva.nl/ecartico/persons/7628,"(1607, 1655)"
3,Crispyn van Queborn,0.033,http://www.vondel.humanities.uva.nl/ecartico/persons/6171,"(1607, 1655)"
3,Pieter Serwouters,0.03,http://www.vondel.humanities.uva.nl/ecartico/persons/6794,"(1607, 1655)"
3,Peeter de Jode I,0.03,http://www.vondel.humanities.uva.nl/ecartico/persons/4130,"(1607, 1655)"
3,Daniël van (den) Bremde(n),0.03,http://www.vondel.humanities.uva.nl/ecartico/persons/1386,"(1607, 1655)"
3,Willem (van) de Passe,0.028,http://www.vondel.humanities.uva.nl/ecartico/persons/5896,"(1607, 1655)"
3,Adriaen Jacobsen Matham,0.028,http://www.vondel.humanities.uva.nl/ecartico/persons/4889,"(1607, 1655)"
3,Jan Gerritsz. Sweelinck,0.024,http://www.vondel.humanities.uva.nl/ecartico/persons/7266,"(1607, 1655)"
3,"Serwouters, P.",0.022,https://id.rijksmuseum.nl/310139476,"(1607, 1655)"
3,Johannes Gelle,0.02,http://www.vondel.humanities.uva.nl/ecartico/persons/3136,"(1607, 1655)"
3,"Verstralen, J.",0.017,https://id.rijksmuseum.nl/310117977,"(1607, 1655)"
3,Andries Jacobsz. Stock,0.017,http://www.vondel.humanities.uva.nl/ecartico/persons/7129,"(1607, 1655)"
3,Willem Hondius,0.015,http://www.vondel.humanities.uva.nl/ecartico/persons/3809,"(1607, 1655)"
3,Willem Outgertsz Akersloot,0.013,http://www.vondel.humanities.uva.nl/ecartico/persons/522,"(1607, 1655)"
3,"Poel, Albert",0.013,https://id.rijksmuseum.nl/31091111,"(1607, 1655)"
3,"Poel, A",0.013,https://id.rijksmuseum.nl/310139362,"(1607, 1655)"
3,Pieter Jansz. Saenredam,0.013,http://www.vondel.humanities.uva.nl/ecartico/persons/6517,"(1607, 1655)"
3,Jacob van Campen,0.013,http://www.vondel.humanities.uva.nl/ecartico/persons/1616,"(1607, 1655)"
3,Gillis van Schendel,0.013,http://www.vondel.humanities.uva.nl/ecartico/persons/6637,"(1607, 1655)"
3,Christiaan le Blon,0.013,http://www.vondel.humanities.uva.nl/ecartico/persons/4508,"(1607, 1655)"
3,"Wils, P.",0.011,https://id.rijksmuseum.nl/310138980,"(1607, 1655)"
3,Philip Serwouters,0.011,http://www.vondel.humanities.uva.nl/ecartico/persons/6793,"(1607, 1655)"
3,"Bouchorst, J.",0.011,https://id.rijksmuseum.nl/310138983,"(1607, 1655)"
3,Willem Jacobsz. Delff,0.009,http://www.vondel.humanities.uva.nl/ecartico/persons/2404,"(1607, 1655)"
3,"Toorenvliet, J.",0.009,https://id.rijksmuseum.nl/310140970,"(1607, 1655)"
3,"Schillemans, F.",0.009,https://id.rijksmuseum.nl/310139480,"(1607, 1655)"
3,"Philippe, P.",0.009,https://id.rijksmuseum.nl/310140969,"(1607, 1655)"
3,"Kittensteyn, Cornelis van",0.009,https://id.rijksmuseum.nl/31060466,"(1607, 1655)"
3,"Dalen, C. van",0.009,https://id.rijksmuseum.nl/310140971,"(1607, 1655)"
3,"Waumans, Coenraet",0.007,https://id.rijksmuseum.nl/310121007,"(1607, 1655)"
3,Paulus Pontius,0.007,http://www.vondel.humanities.uva.nl/ecartico/persons/6078,"(1607, 1655)"
3,Johan Meyssens Simonsz.,0.007,http://www.vondel.humanities.uva.nl/ecartico/persons/5243,"(1607, 1655)"
3,Steven van Lamsweerde,0.004,http://www.vondel.humanities.uva.nl/ecartico/persons/4458,"(1607, 1655)"
3,"Passe, de (fam.)",0.004,https://id.rijksmuseum.nl/31088164,"(1607, 1655)"
3,Jacob Vennekool,0.004,http://www.vondel.humanities.uva.nl/ecartico/persons/7660,"(1607, 1655)"
3,"Wright, Benjamin",0.002,https://id.rijksmuseum.nl/310124691,"(1607, 1655)"
3,Michiel Jansz van Miereveld,0.002,http://www.vondel.humanities.uva.nl/ecartico/persons/5264,"(1607, 1655)"
3,Jan Gillisz. van Vliet,0.002,http://www.vondel.humanities.uva.nl/ecartico/persons/7930,"(1607, 1655)"
3,Hubert Goltzius,0.002,http://www.vondel.humanities.uva.nl/ecartico/persons/3274,"(1607, 1655)"
4,Jan Goeree,0.083,http://www.vondel.humanities.uva.nl/ecartico/persons/312,"(1674, 1768)"
4,Jan van Vianen,0.059,http://www.vondel.humanities.uva.nl/ecartico/persons/7838,"(1674, 1768)"
4,"Baptist, Jac.",0.043,https://id.rijksmuseum.nl/3105857,"(1674, 1768)"
4,Lourens Scherm,0.041,http://www.vondel.humanities.uva.nl/ecartico/persons/6656,"(1674, 1768)"
4,Jan Luyken,0.039,http://www.vondel.humanities.uva.nl/ecartico/persons/4766,"(1674, 1768)"
4,"Sluyter, P.",0.033,https://id.rijksmuseum.nl/310106343,"(1674, 1768)"
4,Johan Jacobsz van den Aveele,0.033,http://www.vondel.humanities.uva.nl/ecartico/persons/655,"(1674, 1768)"
4,"Ruyter, Jan",0.03,https://id.rijksmuseum.nl/31099146,"(1674, 1768)"
4,Jacobus de Later,0.03,http://www.vondel.humanities.uva.nl/ecartico/persons/4494,"(1674, 1768)"
4,Lieven Cruyl,0.022,http://www.vondel.humanities.uva.nl/ecartico/persons/2248,"(1674, 1768)"
4,"Hennin, G.W. de",0.022,https://id.rijksmuseum.nl/31049799,"(1674, 1768)"
4,Hendrick Elandt,0.022,http://www.vondel.humanities.uva.nl/ecartico/persons/269,"(1674, 1768)"
4,Giovanni Pietro Bellori,0.022,http://data.bibliotheken.nl/id/thes/p070001758,"(1674, 1768)"
4,"Bartoli, Pietro Santi",0.022,https://id.rijksmuseum.nl/3106595,"(1674, 1768)"
4,Caspar Luyken,0.02,http://www.vondel.humanities.uva.nl/ecartico/persons/4765,"(1674, 1768)"
4,"Jagen, J. van",0.015,https://id.rijksmuseum.nl/31055852,"(1674, 1768)"
4,"Coster, D.",0.013,https://id.rijksmuseum.nl/31024347,"(1674, 1768)"
4,"Bernarts, B.",0.013,https://id.rijksmuseum.nl/3109451,"(1674, 1768)"
4,Adriaen Schoonebeek,0.013,http://www.vondel.humanities.uva.nl/ecartico/persons/6692,"(1674, 1768)"
4,"Ruyter, G.L.B.",0.011,https://id.rijksmuseum.nl/31099145,"(1674, 1768)"
4,"Stemmers, J.",0.007,https://id.rijksmuseum.nl/310109372,"(1674, 1768)"
4,"Sluiter, P.",0.007,https://id.rijksmuseum.nl/310106326,"(1674, 1768)"
4,Gerrit de Broen I,0.007,http://www.vondel.humanities.uva.nl/ecartico/persons/1422,"(1674, 1768)"
4,Pieter Pickaert,0.004,http://www.vondel.humanities.uva.nl/ecartico/persons/5985,"(1674, 1768)"
4,Pieter Claesz. Soutman,0.004,http://www.vondel.humanities.uva.nl/ecartico/persons/6972,"(1674, 1768)"
4,"Penning, D.",0.004,https://id.rijksmuseum.nl/310139288,"(1674, 1768)"
4,Maria de Wilde,0.004,http://www.vondel.humanities.uva.nl/ecartico/persons/8276,"(1674, 1768)"
4,Laurens Vincentsz. van der Vinne I,0.004,http://www.vondel.humanities.uva.nl/ecartico/persons/7882,"(1674, 1768)"
4,Christoph Weigel,0.004,http://data.bibliotheken.nl/id/thes/p071606890,"(1674, 1768)"
4,"Broen, C. de",0.004,https://id.rijksmuseum.nl/31015612,"(1674, 1768)"
4,"Berge, P. van den",0.004,https://id.rijksmuseum.nl/310141606,"(1674, 1768)"
4,Albert Schut,0.004,http://www.vondel.humanities.uva.nl/ecartico/persons/6745,"(1674, 1768)"
4,Verhulst,0.002,https://id.rijksmuseum.nl/310138959,"(1674, 1768)"
4,Johannes van Baden,0.002,http://www.vondel.humanities.uva.nl/ecartico/persons/692,"(1674, 1768)"
4,"Boitard, F.",0.002,https://id.rijksmuseum.nl/31012498,"(1674, 1768)"
4,Abraham Jansz Storck,0.002,http://www.vondel.humanities.uva.nl/ecartico/persons/7174,"(1674, 1768)"
5,Jacob Adriaansz Matham,0.041,http://www.vondel.humanities.uva.nl/ecartico/persons/4890,"(1576, 1683)"
5,Hendrick Goltzius,0.033,http://www.vondel.humanities.uva.nl/ecartico/persons/3273,"(1576, 1683)"
5,Crispyn de Passe I,0.03,http://www.vondel.humanities.uva.nl/ecartico/persons/5891,"(1576, 1683)"
5,"Gheyn, Jacob de",0.026,https://id.rijksmuseum.nl/310139870,"(1576, 1683)"
5,Simon (van) de(r) Passe,0.02,http://www.vondel.humanities.uva.nl/ecartico/persons/5895,"(1576, 1683)"
5,Crispyn de Passe II,0.02,http://www.vondel.humanities.uva.nl/ecartico/persons/5892,"(1576, 1683)"
5,David Vinckboons I,0.017,http://www.vondel.humanities.uva.nl/ecartico/persons/7866,"(1576, 1683)"
5,Cornelis (de) Visscher (II),0.017,http://www.vondel.humanities.uva.nl/ecartico/persons/7902,"(1576, 1683)"
5,"Passe, Crispijn de",0.015,https://id.rijksmuseum.nl/310140013,"(1576, 1683)"
5,Michel le Blon,0.015,http://www.vondel.humanities.uva.nl/ecartico/persons/4509,"(1576, 1683)"
5,Cornelis van Dalen II,0.015,http://www.vondel.humanities.uva.nl/ecartico/persons/2321,"(1576, 1683)"
5,Pieter van der Borcht I,0.013,http://www.vondel.humanities.uva.nl/ecartico/persons/1202,"(1576, 1683)"
5,Jeremias Falck,0.013,http://www.vondel.humanities.uva.nl/ecartico/persons/2863,"(1576, 1683)"
5,Janus Lutma II,0.013,http://www.vondel.humanities.uva.nl/ecartico/persons/4759,"(1576, 1683)"
5,Cornelis Pietersz. Holsteyn,0.013,http://www.vondel.humanities.uva.nl/ecartico/persons/3789,"(1576, 1683)"
5,Claes Pietersz. Lastman,0.013,http://www.vondel.humanities.uva.nl/ecartico/persons/4491,"(1576, 1683)"
5,Johannes Collaert I,0.011,http://www.vondel.humanities.uva.nl/ecartico/persons/1935,"(1576, 1683)"
5,Jan Pietersz. Saenredam,0.011,http://www.vondel.humanities.uva.nl/ecartico/persons/6516,"(1576, 1683)"
